municipio;parroquia;nombre;tipo_centro;situacion;latitud;longitud
MP. SIMON RODRIGUEZ;CM. EL TIGRE;ESCUELA RURAL LA AVENTAZON;EDUCACION BASICA;Cerrado;8.75904597;-64.22176998
MP. FREITES;PQ. URICA;ESCUELA CONCENTRADA NACIONAL GUAYABAL;EDUCACION BASICA;Cerrado;9.73599399;-64.02768102
MP. SIMON RODRIGUEZ;CM. EL TIGRE;ESCUELA BOLIVARIANA LA ALFARERIA;EDUCACION BASICA;Cerrado;8.858817;-64.25793999
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA ESTADAL PROFESOR HECTOR GARCIA SALAS;UNIDAD EDUCATIVA;Cerrado;10.11816;-64.67969097
MP. SIMON RODRIGUEZ;CM. EL TIGRE;LICEO JOSE CELESTINO HURTADO;LICEO;Cerrado;8.86185999;-64.26180504
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA RIO NEVERI;UNIDAD EDUCATIVA;Cerrado;10.11914901;-64.66977198
MP. PIRITU;PQ. PIRITU;ESCUELA BOLIVARIANA EL MEREY;EDUCACION BASICA;Cerrado;9.74034801;-63.970596
MP. SIMON RODRIGUEZ;CM. EL TIGRE;ESCUELA MENEVEN;EDUCACION BASICA;Cerrado;8.86657104;-64.25451099
MP. GUANTA;PQ. CHORRERON;CENTRO DE EDUCACION INICIAL COLOMBIA;EDUCACION INICIAL;Cerrado;10.11975903;-64.68097104
MP. GUANTA;PQ. CHORRERON;UNIDAD EDUCATIVA NACIONAL BARRIO COLOMBIA;UNIDAD EDUCATIVA;Cerrado;10.11985596;-64.68212196
MP. BOLIVAR;PQ. SAN CRISTOBAL;UNIDAD EDUCATIVA GENERAL  JOSE ANTONIO PAEZ;UNIDAD EDUCATIVA;Cerrado;10.12070304;-64.71816399
MP. BOLIVAR;PQ. SAN CRISTOBAL;ESCUELA BASICA ANTONIO GUZMAN BLANCO;EDUCACION BASICA;Cerrado;10.12284099;-64.67913504
MP. BOLIVAR;PQ. SAN CRISTOBAL;CENTRO DE EDUCACION INICIAL PADRE PIO;EDUCACION INICIAL;Cerrado;10.123389;-64.68452199
MP. BOLIVAR;PQ. SAN CRISTOBAL;ESCUELA ESTADAL DOMINGO MAZA VELASQUEZ;EDUCACION BASICA;Cerrado;10.12435803;-64.68183198
MP. BOLIVAR;PQ. SAN CRISTOBAL;COMPLEJO EDUCATIVO NACIONAL MANUEL FARIAS LUCES;EDUCACION BASICA Y SECUNDARIA;Cerrado;10.12534398;-64.68527601
MP. BOLIVAR;PQ. SAN CRISTOBAL;GRUPO ESCOLAR JUAN MANUEL CAJIGAL;GRUPO ESCOLAR;Cerrado;10.12616298;-64.686573
MP. BOLIVAR;PQ. NARICUAL;UNIDAD EDUCATIVA JESUS RAFAEL ALBORNOZ;UNIDAD EDUCATIVA;Cerrado;10.07997102;-64.62701298
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA BOLIVARIANA VALLES DEL NEVERI;EDUCACION BASICA;Cerrado;10.08957798;-64.61082297
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA BOLIVARIANA PICAS DEL NEVERI;EDUCACION BASICA;Cerrado;10.09175598;-64.62771201
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA BOLIVARIANA EL ENEAL;EDUCACION BASICA;Cerrado;10.11363597;-64.61536599
MP. SOTILLO;PQ. POZUELOS;UNIDAD EDUCATIVA NACIONAL RURAL BOLIVARIANA LOMAS DE SANTA MARIA;UNIDAD EDUCATIVA;Cerrado;10.12128003;-64.59540903
MP. SOTILLO;PQ. POZUELOS;ESCUELA ESTADAL MIGUEL JOSE SANZ;EDUCACION BASICA;Cerrado;10.12224798;-64.58882202
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA NACIONAL BOLIVARIANA MIGUEL ANGEL PEREZ;EDUCACION BASICA;Cerrado;10.12795101;-64.64750499
MP. SOTILLO;PQ. POZUELOS;ESCUELA BASICA LA FLORESTA;EDUCACION BASICA;Cerrado;10.13214501;-64.60569999
MP. SOTILLO;PQ. POZUELOS;ESCUELA NACIONAL CREACION LAS CHARAS;EDUCACION BASICA;Cerrado;10.19165004;-64.61638497
MP. L/DIEGO BAUTISTA;PQ. LECHERIAS;UNIDAD EDUCATIVA MANUEL GUAL;UNIDAD EDUCATIVA;Cerrado;10.19206899;-64.68949197
MP. SOTILLO;PQ. POZUELOS;ESCUELA FE Y ALEGRIA;EDUCACION BASICA;Cerrado;10.19283399;-64.63676304
MP. SOTILLO;CM. PUERTO LA CRUZ;UNIDAD EDUCATIVA INTEGRAL COLEGIO LAURA VICU?A;UNIDAD EDUCATIVA;Cerrado;10.19375298;-64.64102904
MP. SOTILLO;PQ. POZUELOS;ESCUELA NACIONAL CAMPO ALEGRE;EDUCACION BASICA;Cerrado;10.19428398;-64.63253799
MP. SOTILLO;PQ. POZUELOS;PRE-ESCOLAR LUIS BELTRAN PRIETO FIGUEROA;EDUCACION INICIAL;Cerrado;10.19440602;-64.61447301
MP. L/DIEGO BAUTISTA;PQ. LECHERIAS;UNIDAD EDUCATIVA LICENCIADO DIEGO BAUTISTA URBANEJA;UNIDAD EDUCATIVA;Cerrado;10.19497797;-64.69281198
MP. SOTILLO;PQ. POZUELOS;UNIDAD EDUCATIVA  BATALLA DE LA VICTORIA;UNIDAD EDUCATIVA;Cerrado;10.19501604;-64.61296902
MP. SOTILLO;CM. PUERTO LA CRUZ;ESCUELA GRADUADA MARIA GUZMAN DE MARCANO;EDUCACION BASICA;Cerrado;10.19583297;-64.63830897
MP. SOTILLO;PQ. POZUELOS;GRUPO ESCOLAR INES MARIA DE POTENTINI;GRUPO ESCOLAR;Cerrado;10.19622204;-64.63214298
MP. SOTILLO;CM. PUERTO LA CRUZ;GRUPO ESCOLAR BELLO MONTE;GRUPO ESCOLAR;Cerrado;10.19660004;-64.64690001
MP. FREITES;CM. CANTAURA;ESCUELA  NACIONAL  CONCENTRADA 2060-213-1752 MORICHALOTE;EDUCACION BASICA;Cerrado;9.01198296;-63.47504196
MP. FREITES;CM. CANTAURA;ESCUELA BOLIVARIANA LOS CHAGUARAMOS;EDUCACION BASICA;Cerrado;9.175761;-63.78484104
MP. INDEPENDENCIA;CM. SOLEDAD;ESCUELA NACIONAL CONCENTRADA NUMERO 58-195 LA CANOA;EDUCACION BASICA;Cerrado;8.59906701;-63.87330897
MP. INDEPENDENCIA;PQ. MAMO;ESCUELA INTEGRAL BOLIVARIANA PALITAL;EDUCACION BASICA;Cerrado;8.66752398;-63.97814502
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;ESCUELA UNITARIA LA PE?A NUCLEO DE EDUCACION RURAL 239;EDUCACION BASICA;Cerrado;8.667846;-63.978552
MP. FREITES;CM. CANTAURA;ESCUELA UNITARIA LOMA LARGA;EDUCACION BASICA;Cerrado;9.12806496;-63.99137799
MP. FREITES;CM. CANTAURA;ESCUELA BASICA  FE Y ALEGRIA;EDUCACION BASICA;Cerrado;9.21613797;-64.05203799
MP. FREITES;CM. CANTAURA;UNIDAD EDUCATIVA MERECURAL;UNIDAD EDUCATIVA;Cerrado;9.26908398;-63.94533102
MP. FREITES;PQ. SANTA ROSA;ESCUELA NACIONAL INDIGENA LA ISLA;EDUCACION BASICA;Cerrado;9.60430599;-64.06298397
MP. FREITES;PQ. URICA;ESCUELA NACIONAL UNITARIA NUMERO 1860 LA LEONA;EDUCACION BASICA;Cerrado;9.63878301;-64.05033303
MP. FREITES;PQ. SANTA ROSA;ESCUELA UNITARIA NUMERO 62 LA CEIBA;EDUCACION BASICA;Cerrado;9.69372;-64.23332697
MP. FREITES;PQ. URICA;ESCUELA  BOLIVARIANA EL SAMAN;EDUCACION BASICA;Cerrado;9.801441;-64.136997
MP. LIBERTAD;PQ. SANTA INES;ESCUELA BASICA MANUEL HENRIQUEZ BUCK;EDUCACION BASICA;Cerrado;9.90472599;-64.35453897
MP. SOTILLO;PQ. POZUELOS;ESCUELA NACIONAL UNITARIA NUMERO 2080 SAN PEDRO;EDUCACION BASICA;Cerrado;9.98024202;-64.394109
MP. SANTA ANA;PQ. PUEBLO NUEVO;ESCUELA OFICIAL UNITARIA NUCLEO EDUCACION RURAL 144;EDUCACION BASICA;Cerrado;9.99086697;-64.37673198
MP. MIRANDA;PQ. EL PAO;ESCUELA BOLIVARIANA INDIGENA SANTA CRUZ DE CACHIPO;EDUCACION BASICA;Cerrado;8.727867;-64.51543296
MP. MIRANDA;PQ. EL PAO;GRUPO ESCOLAR CREACION EL PAO;GRUPO ESCOLAR;Cerrado;8.788995;-64.628766
MP. MIRANDA;CM. PARIAGUAN;UNIDAD EDUCATIVA BOLIVARIANA LA SIERRA;UNIDAD EDUCATIVA;Cerrado;8.81826597;-64.76396796
MP. MIRANDA;CM. PARIAGUAN;GRUPO ESCOLAR BOLET PERAZA;GRUPO ESCOLAR;Cerrado;8.82772398;-64.72709604
MP. MIRANDA;CM. PARIAGUAN;GRUPO ESCOLAR FREITES;GRUPO ESCOLAR;Cerrado;8.82986598;-64.71435798
MP. SIMON RODRIGUEZ;CM. EL TIGRE;PREESCOLAR FUNDA MASIN;EDUCACION INICIAL;Cerrado;8.86999203;-64.26238401
MP. SIMON RODRIGUEZ;CM. EL TIGRE;ESCUELA RURAL DE EDUCACION  BASICA LA ESPERANZA;EDUCACION BASICA;Cerrado;8.870976;-64.251045
MP. SIMON RODRIGUEZ;CM. EL TIGRE;JARDIN DE INFANCIA PUEBLO AJURO;EDUCACION INICIAL;Cerrado;8.87171697;-64.263213
MP. BOLIVAR;PQ. EL CARMEN;UNIDAD EDUCATIVA MARIA FRANCIA;UNIDAD EDUCATIVA;Cerrado;10.15036596;-64.67692302
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA BUENOS AIRES NUCLEO ESCOLAR RURAL 001;EDUCACION BASICA;Cerrado;9.44326602;-64.83029904
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA NACIONAL TRONCONAL II;EDUCACION BASICA;Cerrado;10.15169697;-64.66708503
MP. SIMON RODRIGUEZ;CM. EL TIGRE;ESCUELA NACIONAL FELIPE WALKER;EDUCACION BASICA;Cerrado;8.87173596;-64.26336897
MP. ARAGUA;CM. ARAGUA DE BARCELONA;UNIDAD EDUCATIVA NUESTRA SE?ORA DEL CARMEN;UNIDAD EDUCATIVA;Cerrado;9.45582696;-64.82831697
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA BASICA EL ESFUERZO II;EDUCACION BASICA;Cerrado;10.151991;-64.65981096
MP. SIMON RODRIGUEZ;CM. EL TIGRE;ESCUELA DE MANUALIDADES FEMENINAS DO?A EVA DE LISCANO;EDUCACION BASICA;Cerrado;8.87405499;-64.26180198
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA BOLIVARIANA BARRIO SUCRE;EDUCACION BASICA;Cerrado;9.45344601;-64.82559501
MP. SIMON RODRIGUEZ;CM. EL TIGRE;ESCUELA NACIONAL LA FLORIDA;EDUCACION BASICA;Cerrado;8.87445099;-64.26110898
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA CONCENTRADA NUMERO 2084-1852 LAGUNA NUEVA;EDUCACION BASICA;Cerrado;9.45842103;-64.82512998
MP. SIMON RODRIGUEZ;CM. EL TIGRE;UNIDAD EDUCATIVA HERNANDEZ PARES;UNIDAD EDUCATIVA;Cerrado;8.87770404;-64.26836397
MP. BOLIVAR;PQ. EL CARMEN;UNIDAD EDUCATIVA GENERAL NICOLAS ROLANDO MONTEVERDE;UNIDAD EDUCATIVA;Cerrado;10.15549902;-64.67842197
MP. ARAGUA;CM. ARAGUA DE BARCELONA;UNIDAD EDUCATIVA  DOCTOR ALIRIO ARREAZA;UNIDAD EDUCATIVA;Cerrado;9.45713097;-64.82364696
MP. BOLIVAR;PQ. EL CARMEN;LICEO NACIONAL DOCTOR RAFAEL ANTONIO FERNANDEZ PADILLA;LICEO;Cerrado;10.15679799;-64.66991004
MP. SIMON RODRIGUEZ;CM. EL TIGRE;CENTRO PREESCOLAR ANDRES BELLO;EDUCACION INICIAL;Cerrado;8.87796702;-64.24762896
MP. ARAGUA;CM. ARAGUA DE BARCELONA;UNIDAD EDUCATIVA NARCISO FRAGACHAN;UNIDAD EDUCATIVA;Cerrado;9.45604503;-64.822932
MP. BOLIVAR;PQ. EL CARMEN;INSTITUTO UNIVERSITARIO DE TECNOLOGIA JUAN PABLO PEREZ ALFONZO;INSTITUTO UNIVERSITARIO;Cerrado;10.156977;-64.63526202
MP. SIMON RODRIGUEZ;CM. EL TIGRE;COLEGIO DIVINO MAESTRO;EDUCACION BASICA Y SECUNDARIA;Cerrado;8.88192801;-64.26655596
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA NACIONAL CONCENTRADA VENTORRILLO;EDUCACION BASICA;Cerrado;9.43992396;-64.81690002
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA NACIONAL JESUS RAFAEL VALLADARES GIL TRONCONAL III-B;EDUCACION BASICA;Cerrado;10.16156403;-64.66744296
MP. SIMON RODRIGUEZ;CM. EL TIGRE;INSTITUTO ALBERTO CARNEVALLI;INSTITUTO EDUCATIVO;Cerrado;8.88310701;-64.25948097
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA ESTADAL CONCENTRADA NUMERO 5 Y 2095 SANTA RITA;EDUCACION BASICA;Cerrado;9.46570599;-64.81483803
MP. BOLIVAR;PQ. EL CARMEN;INSTITUTO DE EDUCACION ESPECIAL BARCELONA;INSTITUTO EDUCATIVO;Cerrado;10.1628;-64.67270004
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA NACIONAL GUACAMAYO;EDUCACION BASICA;Cerrado;9.43324497;-64.81326303
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA NACIONAL PRIMARIA DOCTOR JOSE MARIA VARGAS;EDUCACION BASICA;Cerrado;10.16293599;-64.66987296
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA BASICA NACIONAL 2901 LA GLORIA;EDUCACION BASICA;Cerrado;9.48043197;-64.79835003
MP. SIMON RODRIGUEZ;CM. EL TIGRE;INSTITUTO DE EDUCACION ESPECIAL EL TIGRE;INSTITUTO EDUCATIVO;Cerrado;8.88482898;-64.26209601
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA CONCENTRADA MIXTA NUMERO 1 LOS DIVIDIVES;EDUCACION BASICA;Cerrado;9.50590197;-64.73873997
MP. SOTILLO;CM. PUERTO LA CRUZ;CENTRO DE EDUCACION INICIAL LUIGGI EMILIO CECCATO;EDUCACION INICIAL;Cerrado;10.19784402;-64.64628
MP. SIMON RODRIGUEZ;CM. EL TIGRE;UNIDAD EDUCATIVA NUESTRA SE?ORA DEL PILAR;UNIDAD EDUCATIVA;Cerrado;8.885169;-64.24555302
MP. ARAGUA;CM. ARAGUA DE BARCELONA;ESCUELA NACIONAL UNITARIA NUMERO 1859;EDUCACION BASICA;Cerrado;9.53795898;-64.65390201
MP. BOLIVAR;PQ. EL CARMEN;ESCUELA  BASICA ROMULO GALLEGOS;EDUCACION BASICA;Cerrado;10.16411202;-64.67371299
MP. L/DIEGO BAUTISTA;PQ. LECHERIAS;UNIDAD EDUCATIVA TOMAS ALFARO CALATRAVA;UNIDAD EDUCATIVA;Cerrado;10.19822202;-64.69376499
MP. SIMON RODRIGUEZ;CM. EL TIGRE;UNIVERSIDAD NACIONAL ABIERTA;SUPERIOR;Cerrado;8.88519501;-64.26466398
MP. SANTA ANA;PQ. SANTA ANA;ESCUELA OFICIAL SIN NUMERO LECHOZAL;EDUCACION BASICA;Cerrado;9.37769202;-64.60255098
MP. BOLIVAR;PQ. EL CARMEN;LICEO BOLIVARIANO DOCTOR JESUS MARIA BIANCO;LICEO;Cerrado;10.16422902;-64.66900203
MP. SOTILLO;PQ. POZUELOS;UNIDAD EDUCATIVA DOCTOR RAUL LEONI;UNIDAD EDUCATIVA;Cerrado;10.19872701;-64.63077201
MP. SIMON RODRIGUEZ;CM. EL TIGRE;UNIDAD EDUCATIVA JOSE MERCEDES SANTELIZ PE?A;UNIDAD EDUCATIVA;Cerrado;8.885718;-64.24751898
MP. ANACO;PQ. SAN JOAQUIN;UNIDAD EDUCATIVA DIEGO JIMENEZ SALAZAR;UNIDAD EDUCATIVA;Cerrado;9.38459403;-64.52054802
MP. SOTILLO;PQ. POZUELOS;CENTRO DE EDUCACION INICIAL PROFESOR NARCISO RODRIGUEZ;EDUCACION INICIAL;Cerrado;10.19883699;-64.62381402
MP. BOLIVAR;PQ. EL CARMEN;CENTRO DE EDUCACION INICIAL MENCA DE LEONI;EDUCACION INICIAL;Cerrado;10.16702496;-64.66961997
MP. SIMON RODRIGUEZ;CM. EL TIGRE;GRUPO ESCOLAR ESTADO TRUJILLO;GRUPO ESCOLAR;Cerrado;8.88586299;-64.26162801
MP. ANACO;PQ. ANACO;UNIDAD EDUCATIVA MIXTA 9411 ROMULO GALLEGOS;UNIDAD EDUCATIVA;Cerrado;9.44567001;-64.49290002
MP. SOTILLO;PQ. POZUELOS;COLEGIO SANTA TERESITA;EDUCACION BASICA Y SECUNDARIA;Cerrado;10.19971701;-64.62736902
MP. SIMON RODRIGUEZ;CM. EL TIGRE;GRUPO ESCOLAR DOCTOR RAFAEL  FERNANDEZ PADILLA;GRUPO ESCOLAR;Cerrado;8.88630102;-64.26563796
MP. BOLIVAR;PQ. EL CARMEN;CENTRO DE EDUCACION INICIAL GENERAL JOSE ANTONIO ANZOATEGUI;EDUCACION INICIAL;Cerrado;10.16744103;-64.66956399
MP. ANACO;PQ. ANACO;UNIDAD EDUCATIVA JOSE ANTONIO ANZOATEGUI;UNIDAD EDUCATIVA;Cerrado;9.42170598;-64.488393
MP. SOTILLO;PQ. POZUELOS;UNIDAD EDUCATIVA NUESTRA SE?ORA DEL VALLE;UNIDAD EDUCATIVA;Cerrado;10.19982897;-64.61664102
MP. ANACO;PQ. ANACO;ESCUELA BOLIVARIANA PRIMERO DE MAYO;EDUCACION BASICA;Cerrado;9.41613201;-64.48832802
MP. SIMON RODRIGUEZ;CM. EL TIGRE;UNIDAD EDUCATIVA MANUEL ANTONIO CARRE?O;UNIDAD EDUCATIVA;Cerrado;8.88670602;-64.25817003
MP. SOTILLO;PQ. POZUELOS;GRUPO ESCOLAR TOMAS MOGNA;GRUPO ESCOLAR;Cerrado;10.20112002;-64.617246
MP. ANACO;PQ. ANACO;UNIDAD EDUCATIVA NARCISO FRAGACHAN;UNIDAD EDUCATIVA;Cerrado;9.43111602;-64.48614696
MP. SOTILLO;PQ. POZUELOS;CENTRO DE EDUCACION INICIAL NACIONAL JOSEFA JOAQUINA SANCHEZ;EDUCACION INICIAL;Cerrado;10.20170601;-64.615464
MP. ANACO;PQ. ANACO;UNIDAD EDUCATIVA DOCTOR CRUZ DEL VALLE RODRIGUEZ;UNIDAD EDUCATIVA;Cerrado;9.42965604;-64.48600602
MP. BOLIVAR;PQ. EL CARMEN;CENTRO DE EDUCACION INICIAL SIMONCITO TRONCONAL V;EDUCACION INICIAL;Cerrado;10.16789301;-64.66755204
MP. ANACO;PQ. ANACO;ESCUELA BASICA ARTESANAL URBANA ANACO;EDUCACION BASICA;Cerrado;9.42341697;-64.48436703
MP. SOTILLO;CM. PUERTO LA CRUZ;ESCUELA BOLIVARIANA DOCTOR SEVERIANO HERNANDEZ;EDUCACION BASICA;Cerrado;10.20228201;-64.63786896
MP. SOTILLO;PQ. POZUELOS;GRUPO ESCOLAR ANDRES ELOY BLANCO;GRUPO ESCOLAR;Cerrado;10.20234798;-64.62705096
MP. SOTILLO;PQ. POZUELOS;INSTITUTO NACIONAL DE COOPERACION EDUCATIVA;INSTITUTO EDUCATIVO;Cerrado;10.20234897;-64.63316898
MP. SOTILLO;PQ. POZUELOS;GRUPO  ESCOLAR CELESTINO GONZALEZ ORTIZ;GRUPO ESCOLAR;Cerrado;10.20276702;-64.623132
MP. SOTILLO;CM. PUERTO LA CRUZ;CENTRO DE EDUCACION INICIAL EL PARAISO I;EDUCACION INICIAL;Cerrado;10.20282696;-64.65403602
MP. SOTILLO;PQ. POZUELOS;CENTRO DE CAPACITACION DE ADULTO OLIMPIA COVA DE NU?EZ;CENTRO DE CAPACITACION;Cerrado;10.20310002;-64.61540001
MP. SOTILLO;PQ. POZUELOS;ESCUELA TECNICA INDUSTRIAL ROBINSONIANA EUGENIO MENDOZA;EDUCACION BASICA;Cerrado;10.20507201;-64.61929899
MP. SOTILLO;CM. PUERTO LA CRUZ;GRUPO ESCOLAR RAFAEL MARCANO RODRIGUEZ;GRUPO ESCOLAR;Cerrado;10.20530997;-64.65269502
MP. SOTILLO;CM. PUERTO LA CRUZ;GRUPO ESCOLAR RAFAEL MARCANO RODRIGUEZ II;GRUPO ESCOLAR;Cerrado;10.20539997;-64.65259998
MP. SOTILLO;CM. PUERTO LA CRUZ;GRUPO ESCOLAR CREACION PARAISO;GRUPO ESCOLAR;Cerrado;10.206396;-64.65365703
MP. SOTILLO;CM. PUERTO LA CRUZ;UNIDAD EDUCATIVA JOSEFA MATILDE SALAZAR;UNIDAD EDUCATIVA;Cerrado;10.20674799;-64.65909501
MP. SOTILLO;PQ. POZUELOS;LICEO PEDRO MARIA FREITES;LICEO;Cerrado;10.20676104;-64.62491004
MP. BOLIVAR;PQ. BERGANTIN;NUCLEO ESCOLAR RURAL 594 EL ZAMURO;EDUCACION BASICA;Cerrado;10.02946203;-64.28542698
MP. LIBERTAD;PQ. SANTA INES;ESCUELA MIXTA ESTADAL NUMERO 72 BUENOS AIRES;EDUCACION BASICA;Cerrado;10.03023702;-64.223577
MP. BOLIVAR;PQ. BERGANTIN;ESCUELA ESTADAL UNITARIA NUMERO 284 CERRO NEGRO;EDUCACION BASICA;Cerrado;10.03139604;-64.24821702
MP. GUANTA;PQ. CHORRERON;UNIDAD EDUCATIVA ESTADAL 2058, VALLE SECO;UNIDAD EDUCATIVA;Cerrado;10.23426198;-64.51694199
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;ESCUELA BASICA LOS MELONES;EDUCACION BASICA;Cerrado;8.78272704;-64.04856804
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;UNIDAD EDUCATIVA PROFESOR ANDRES HERNANDEZ;UNIDAD EDUCATIVA;Cerrado;8.87275503;-64.14398001
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;ESCUELA RURAL BASICA EL BASQUERO;EDUCACION BASICA;Cerrado;8.87897097;-64.12944303
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;ESCUELA LA FLORIDA;EDUCACION BASICA;Cerrado;8.88170904;-64.14775902
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;ESCUELA BASICA CIUDAD DE LA ASUNCION;EDUCACION BASICA;Cerrado;8.88761304;-64.14884001
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;UNIDAD EDUCATIVA  DOCTOR JOSE MANUEL COVA MAZA;UNIDAD EDUCATIVA;Cerrado;8.88761502;-64.15335
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;UNIDAD EDUCATIVA INSTITUTO RAFAEL RANGEL;UNIDAD EDUCATIVA;Cerrado;8.88852204;-64.15102197
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;UNIDAD EDUCATIVA SAN JOSE;UNIDAD EDUCATIVA;Cerrado;8.89021503;-64.14911703
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;UNIDAD EDUCATIVA ESTADAL LIBERTADOR;UNIDAD EDUCATIVA;Cerrado;8.89276401;-64.153494
MP. GUANIPA;CM. SAN JOSE DE GUANIPA;INSTITUTO DE EDUCACION ESPECIAL AGUAPANE;INSTITUTO EDUCATIVO;Cerrado;8.89441902;-64.14976899
MP. FREITES;CM. CANTAURA;COLEGIO SAN TOME;EDUCACION BASICA Y SECUNDARIA;Cerrado;8.92882098;-64.12745097
MP. FREITES;CM. CANTAURA;ESCUELA BASICA RURAL GUICO NUCLEO ESCOLAR RURAL - 239 GUICO;EDUCACION BASICA;Cerrado;9.00843201;-64.11445596
MP. FREITES;CM. CANTAURA;UNIDAD EDUCATIVA GRANADILLO;UNIDAD EDUCATIVA;Cerrado;9.20060001;-64.20799998
MP. FREITES;CM. CANTAURA;CENTRO DE EDUCACION INICIAL ANDRES BELLO 2;EDUCACION INICIAL;Cerrado;9.2007;-64.22679999
MP. FREITES;PQ. SANTA ROSA;ESCUELA NACIONAL BOLIVARIANA TERESA DE LA PARRA;EDUCACION BASICA;Cerrado;9.57458403;-64.29312198
MP. SOTILLO;CM. PUERTO LA CRUZ;ESCUELA NUESTRA SE?ORA DE LOURDES;EDUCACION BASICA;Cerrado;10.20729897;-64.63787202
MP. SOTILLO;PQ. POZUELOS;CICLO BASICO FRANCISCO SALIAS;EDUCACION BASICA;Cerrado;10.20731697;-64.62484902
MP. SOTILLO;CM. PUERTO LA CRUZ;PRE ESCOLAR JOSE LUIS ARREAZA;EDUCACION INICIAL;Cerrado;10.20750903;-64.65183597
MP. SOTILLO;CM. PUERTO LA CRUZ;LICEO ALIRIO ARREAZA ARREAZA;LICEO;Cerrado;10.209024;-64.64692296
MP. SOTILLO;PQ. POZUELOS;UNIDAD EDUCATIVA DOCTOR ANDRES MARIA HERNANDEZ CABALLERO;UNIDAD EDUCATIVA;Cerrado;10.20930696;-64.62954396
MP. SOTILLO;CM. PUERTO LA CRUZ;ESCUELA BASICA RODOLFO MAURERA;EDUCACION BASICA;Cerrado;10.2096;-64.64300004
MP. SOTILLO;CM. PUERTO LA CRUZ;INSTITUTO ANGELO DE MARTA;INSTITUTO EDUCATIVO;Cerrado;10.21169403;-64.64039103
MP. SOTILLO;CM. PUERTO LA CRUZ;LICEO TOMAS ALFARO CALATRAVA;LICEO;Cerrado;10.21407903;-64.63992699
MP. SOTILLO;PQ. POZUELOS;GRUPO ESCOLAR ANTONIO JOSE SOTILLO;GRUPO ESCOLAR;Cerrado;10.21419198;-64.63227699
MP. SOTILLO;PQ. POZUELOS;PRE-ESCOLAR DOCTOR GUZMAN LANDER;EDUCACION INICIAL;Cerrado;10.21446702;-64.62682398
MP. SOTILLO;PQ. POZUELOS;UNIDAD EDUCATIVA ROMULO GALLEGOS;UNIDAD EDUCATIVA;Cerrado;10.21478004;-64.62976302
MP. SOTILLO;CM. PUERTO LA CRUZ;INSTITUTO UNIVERSITARIO ANTONIO JOSE DE SUCRE;INSTITUTO UNIVERSITARIO;Cerrado;10.21620501;-64.63368
MP. SOTILLO;PQ. POZUELOS;GRUPO ESCOLAR DOMINGO GUZMAN LANDER;GRUPO ESCOLAR;Cerrado;10.21627197;-64.62993204
MP. SOTILLO;CM. PUERTO LA CRUZ;ESCUELA TECNICA PRIVADA MANUEL  PLACIDO MANEIRO;EDUCACION BASICA;Cerrado;10.21645602;-64.63497096
MP. SOTILLO;CM. PUERTO LA CRUZ;CENTRO JUVENIL DON BOSCO;EDUCACION BASICA Y SECUNDARIA;Cerrado;10.21783104;-64.63978002
MP. SOTILLO;PQ. POZUELOS;CENTRO DE EDUCACION INICIAL MARIA ZABALA;EDUCACION INICIAL;Cerrado;10.21794003;-64.62883197
MP. SOTILLO;CM. PUERTO LA CRUZ;COLEGIO SALESIANO PIO XII;EDUCACION BASICA Y SECUNDARIA;Cerrado;10.21796703;-64.63639701
MP. SOTILLO;CM. PUERTO LA CRUZ;GRUPO ESCOLAR DOMINGO SABIO;GRUPO ESCOLAR;Cerrado;10.219716;-64.63820196
MP. SOTILLO;PQ. POZUELOS;CENTRO DE EDUCACION INICIAL DOCTOR PASTOR OROPEZA UNIDAD II;EDUCACION INICIAL;Cerrado;10.222731;-64.62935703
